risk_factor,country,year,value,confidence_intervals,sample_size,source
Malnutrition (wght-for-age z<-2),Timor-Leste,2009,58.1,,,DHS
Malnutrition (wght-for-age z<-2),Timor-Leste,2016,45.6,,,DHS
Malnutrition (wght-for-age z<-2),Turkey,1993,23.4,,,DHS
Malnutrition (wght-for-age z<-2),Turkey,1998,18.8,,,DHS
Malnutrition (wght-for-age z<-2),Tanzania,1992,50.0,,,DHS
Malnutrition (wght-for-age z<-2),Tanzania,1996,49.5,,,DHS
Malnutrition (wght-for-age z<-2),Tanzania,1999,48.2,,,DHS
Malnutrition (wght-for-age z<-2),Tanzania,2004,44.3,,,DHS
Malnutrition (wght-for-age z<-2),Tanzania,2010,42.0,,,DHS
Malnutrition (wght-for-age z<-2),Tanzania,2015,34.4,,,DHS
Malnutrition (wght-for-age z<-2),Tanzania,2022,30.0,,,DHS
Malnutrition (wght-for-age z<-2),Uganda,1995,45.0,,,DHS
Malnutrition (wght-for-age z<-2),Uganda,2000,44.8,,,DHS
Malnutrition (wght-for-age z<-2),Uganda,2006,38.1,,,DHS
Malnutrition (wght-for-age z<-2),Uganda,2011,33.4,,,DHS
Malnutrition (wght-for-age z<-2),Uganda,2016,28.9,,,DHS
Malnutrition (wght-for-age z<-2),Uzbekistan,1996,34.9,,,DHS
Malnutrition (wght-for-age z<-2),Yemen,1991,49.2,,,DHS
Malnutrition (wght-for-age z<-2),Yemen,1997,56.4,,,DHS
Malnutrition (wght-for-age z<-2),Yemen,2013,46.5,,,DHS
Malnutrition (wght-for-age z<-2),South Africa,2016,27.4,,,DHS
Malnutrition (wght-for-age z<-2),Zambia,1992,46.4,,,DHS
Malnutrition (wght-for-age z<-2),Zambia,1996,48.5,,,DHS
Malnutrition (wght-for-age z<-2),Zambia,2002,52.5,,,DHS
Malnutrition (wght-for-age z<-2),Zambia,2007,45.4,,,DHS
Malnutrition (wght-for-age z<-2),Zambia,2013,40.1,,,DHS
Malnutrition (wght-for-age z<-2),Zambia,2018,34.6,,,DHS
Malnutrition (wght-for-age z<-2),Zimbabwe,1994,28.6,,,DHS
Malnutrition (wght-for-age z<-2),Zimbabwe,1999,33.6,,,DHS
Malnutrition (wght-for-age z<-2),Zimbabwe,2005,34.6,,,DHS
Malnutrition (wght-for-age z<-2),Zimbabwe,2010,32.0,,,DHS
Malnutrition (wght-for-age z<-2),Zimbabwe,2015,26.8,,,DHS
