risk_factor,country,year,value,confidence_intervals,sample_size,source
Malnutrition (wght-for-age z<-2),CIV,2004,47.7,,,WHO
Malnutrition (wght-for-age z<-2),SYR,2009,30.6,,,WHO
Malnutrition (wght-for-age z<-2),AZE,2015,0.2,,,WHO
Malnutrition (wght-for-age z<-2),HND,2006,12.9,,,WHO
Malnutrition (wght-for-age z<-2),NER,2007,49.9,,,WHO
Malnutrition (wght-for-age z<-2),AGO,2002,70.3,,,WHO
Malnutrition (wght-for-age z<-2),ARE,2006,13.8,,,WHO
Malnutrition (wght-for-age z<-2),LSO,2010,48.7,,,WHO
Malnutrition (wght-for-age z<-2),SOM,2006,4.8,,,WHO
Malnutrition (wght-for-age z<-2),JPN,2010,15.3,,,WHO
Malnutrition (wght-for-age z<-2),DOM,2010,30.0,,,WHO
Malnutrition (wght-for-age z<-2),LCA,2012,13.9,,,WHO
Malnutrition (wght-for-age z<-2),GHA,2015,35.8,,,WHO
Malnutrition (wght-for-age z<-2),LSO,2004,49.2,,,WHO
Malnutrition (wght-for-age z<-2),ERI,2009,50.6,,,WHO
Malnutrition (wght-for-age z<-2),FIN,2014,8.7,,,WHO
Malnutrition (wght-for-age z<-2),GTM,2006,18.3,,,WHO
Malnutrition (wght-for-age z<-2),KNA,2007,0.3,,,WHO
Malnutrition (wght-for-age z<-2),COL,2019,15.4,,,WHO
Malnutrition (wght-for-age z<-2),IRN,2019,26.5,,,WHO
Malnutrition (wght-for-age z<-2),UGA,2013,55.6,,,WHO
Malnutrition (wght-for-age z<-2),NGA,2003,47.7,,,WHO
Malnutrition (wght-for-age z<-2),KIR,2016,1.6,,,WHO
Malnutrition (wght-for-age z<-2),PLW,2000,35.6,,,WHO
Malnutrition (wght-for-age z<-2),CHL,2012,5.1,,,WHO
Malnutrition (wght-for-age z<-2),PER,2007,24.7,,,WHO
Malnutrition (wght-for-age z<-2),GLOBAL,2002,19.9,,,WHO
Malnutrition (wght-for-age z<-2),LCA,2006,0.5,,,WHO
Malnutrition (wght-for-age z<-2),TUV,2012,21.6,,,WHO
Malnutrition (wght-for-age z<-2),NGA,2004,76.6,,,WHO
Malnutrition (wght-for-age z<-2),AMR,2004,22.3,,,WHO
Malnutrition (wght-for-age z<-2),KOR,2010,11.3,,,WHO
Malnutrition (wght-for-age z<-2),GNB,2014,41.5,,,WHO
Malnutrition (wght-for-age z<-2),LCA,2000,14.2,,,WHO
Malnutrition (wght-for-age z<-2),SUR,2001,0.6,,,WHO
Malnutrition (wght-for-age z<-2),BIH,2002,0.3,,,WHO
Malnutrition (wght-for-age z<-2),5,2009,24.3,,,WHO
Malnutrition (wght-for-age z<-2),PLW,2004,22.0,,,WHO
