Country,Sub_Region,Population_0_14,Child Mortality Rate (U5MR),Exclusive breastfeeding under 6 months (%),Low birth weight (=<2500 g),Malnutrition (wght-for-age z<-2),Use solid fuels (yes),Wasting prevalence among children under 5 years
Sierra Leone,SSA - High Child Mortality,3291636.809556331,94.3,53.99,10.3436843,12.0,,6.235064935064935
Singapore,EAP - Low Child Mortality,705477.0392499692,2.1,,10.95095201,3.3,0.22,4.227777777777778
Slovakia,,854583.2590425438,6.1,,7.822980555,,30.38,
Slovenia,ECA - Low Child Mortality,312886.88054093596,2.2,,6.290086,,32.82,
Solomon Islands,EAP - Medium Child Mortality,302860.49999999994,20.6,76.2,13.23393119,16.2,,8.421052631578947
Somalia,SSA - High Child Mortality,8856977.999999996,104.0,33.7,,22.5,,14.363636363636363
South Africa,SSA - Low Child Mortality,16567466.129418777,34.7,31.61,16.63838895,4.9,3.71,3.608333333333334
South Korea,EAP,5469118.180453335,2.8,,7.463083879,0.4,18.46,0.20000000000000004
South Sudan,SSA - High Child Mortality,4648072.305412646,98.7,44.54,,27.7,0.4,22.156382978723403
Spain,ECA - Medium Child Mortality,6306733.721283795,3.1,,9.638991015,,25.11,
Sri Lanka,SA - Low Child Mortality,4828157.6357622305,6.1,80.93,17.97828986,17.1,6.72,8.893333333333334
St. Kitts and Nevis,LAC - Medium Child Mortality,8520.499999999985,16.3,,,,,
St. Lucia,LAC - Medium Child Mortality,31521.58768467297,15.5,3.5,16.25114353,2.8,,3.5059701492537316
St. Vincent and the Grenadines,LAC - Medium Child Mortality,21422.499999999996,10.6,,,,,
Sudan,SSA - Medium Child Mortality,20417377.202356752,50.1,54.6,,33.0,4.99,15.856842105263159
Suriname,LAC - Medium Child Mortality,162663.00000000026,16.2,8.92,16.46447838,6.7,7.37,5.608421052631578
Sweden,ECA - Low Child Mortality,1795347.5026898265,2.5,,4.121824119,,49.2,
Switzerland,ECA - Medium Child Mortality,1350671.4985906156,3.9,,6.416099261,,45.0,
Syria,MENA,7195425.145817187,20.6,28.5,,10.4,0.72,11.432584269662922
Tajikistan,ECA - High Child Mortality,3840418.818692983,27.3,35.8,8.716076098,5.2,44.84,6.522222222222222
Tanzania,SSA - Low Child Mortality,29162822.499999966,38.9,57.8,9.703563588,11.4,0.93,3.109473684210526
Thailand,EAP - Medium Child Mortality,10570660.500000002,9.2,14.0,10.30292405,6.7,0.97,7.263809523809524
Timor-Leste,EAP - High Child Mortality,471432.99999999994,50.0,64.97,18.21201819,31.9,,8.3
Togo,SSA - Medium Child Mortality,3760974.197629054,58.3,64.33,14.28142408,15.2,0.38,5.705825242718447
Tonga,EAP - Medium Child Mortality,36881.32298381098,9.9,39.57,,0.8,,1.0372549019607842
Trinidad and Tobago,LAC - High Child Mortality,243020.0296956157,19.1,21.46,16.27413873,4.9,0.0,6.355913978494624
Tunisia,MENA - Medium Child Mortality,2951289.500000002,12.9,13.55,8.237122382,1.6,1.05,2.0873684210526315
Turkmenistan,ECA - High Child Mortality,2361281.342465675,40.0,56.48,4.287813245,3.1,0.0,4.1202020202020195
Turks and Caicos Islands,,7478.580354360735,5.6,,,0.4,,0.9338461538461539
Tuvalu,EAP - Medium Child Mortality,3178.1647400342154,19.9,34.7,,2.9,,2.5904255319148937
Türkiye,,18342818.4724216,12.8,40.7,12.89684222,1.5,15.06,1.6273684210526316
Uganda,SSA - Low Child Mortality,21778079.782284938,38.8,65.46,,9.7,1.93,3.2960000000000003
Ukraine,ECA - High Child Mortality,5258230.43055731,8.1,19.73,5.725983097,4.1,28.72,8.492207792207791
United Arab Emirates,MENA - Low Child Mortality,1752388.1863999718,5.0,,13.94074671,,7.24,
United Kingdom,ECA - Medium Child Mortality,11896520.431735603,4.5,,6.827130399,0.6,13.15,0.38333333333333336
United States,NA - High Child Mortality,58922789.734341815,6.5,25.8,8.261421513,0.4,13.96,0.1
Uruguay,LAC - Low Child Mortality,619507.591464859,6.7,57.73,7.802982899,1.8,17.11,1.3493333333333333
Uzbekistan,ECA - High Child Mortality,11309783.999999994,13.3,49.46,5.848450503,1.8,1.23,2.267961165048544
Vanuatu,EAP - Medium Child Mortality,125584.30843026134,16.8,72.6,13.06263993,11.7,,4.7494736842105265
Venezuela,LAC,7251084.500000011,24.3,7.1,9.302933854,2.9,13.32,4.1
Vietnam,EAP,23453385.383879963,20.0,24.0,6.311217509,9.7,11.25,4.4
Yemen,MENA,16691216.794357881,39.3,9.7,,40.7,1.64,16.555238095238096
Zambia,SSA - Medium Child Mortality,8836614.707286723,44.7,69.86,11.24687551,11.8,9.18,4.266315789473684
Zimbabwe,SSA - Medium Child Mortality,6799094.204368823,44.2,41.9,11.82972993,9.6,7.59,5.1
