country,Exclusive breastfeeding under 6 months (%),Low birth weight (≤2500g),Malnutrition (weight-for-age < -2 SD),Population ages 0-4 (number),Solid fuel use (%),Under-5 mortality rate (per 1000),Wasting prevalence (children under 5)
St. Barths,,,,346.0,,,
St. Helena,,,,107.0,,,
St. Kitts and Nevis,,,,1438.0,,16.3,
St. Lucia,3.5,16.25114353,2.8,5175.0,,15.5,0.0
St. Pierre and Miquelon,,,,185.0,,,
St. Vincent and the Grenadines,,,,3235.0,,10.6,
Sub-Saharan Africa,,,15.74,,18.71,68.1,
Sub-Saharan Africa (IDA & IBRD countries),,,,,18.71,68.0522278916853,
Sub-Saharan Africa (excluding high income),,,,,18.71,70.4039202889813,
Sudan,54.6,,33.0,3884359.0,4.99,50.1,18.0
Suriname,8.92,16.46447838,6.7,53331.0,10.25,16.2,3.3
Sweden,,4.121824119,,291039.0,49.9,2.5,
Switzerland,,6.416099261,,222641.0,45.14,3.9,
Syria,28.5,,,1162191.0,,,11.2
Syrian Arab Republic,,,10.4,,0.72,20.6,
Taiwan,,,,401411.0,,,
Tajikistan,35.8,8.716076098,5.2,684690.0,44.84,27.3,3.2
Tanzania,57.8,9.703563588,11.4,5467509.0,0.93,38.9,3.1
Thailand,14.0,10.30292405,6.7,1597780.0,1.02,9.2,7.2
Timor-Leste,64.97,18.21201819,31.9,80055.0,,50.0,10.7
Togo,64.33,14.28142408,15.2,676729.0,0.38,58.3,4.2
Tokelau,,,,219.0,,,
Tonga,39.57,,0.8,11805.0,,9.9,2.6
Trinidad and Tobago,21.46,16.27413873,4.9,42934.0,0.0,19.1,4.6
Tunisia,13.55,8.237122382,1.6,462454.0,1.05,12.9,2.1
Turkiye,,12.89684222,1.5,,15.29,12.8,
Turkmenistan,56.48,4.287813245,3.1,413130.0,0.0,40.0,1.2
Turks and Caicos Islands,,,0.4,2583.0,,5.6,0.4
Tuvalu,34.7,,2.9,1097.0,,19.9,0.0
Türkiye,40.7,,,2932953.0,,,0.7
Uganda,65.46,,9.7,4010306.0,1.93,38.8,3.4
Ukraine,19.73,5.725983097,4.1,672229.0,26.44,8.1,7.3
United Arab Emirates,,13.94074671,,291866.0,7.24,5.0,
United Kingdom,,6.827130399,0.6,1843110.0,13.35,4.5,0.4
United States,25.8,8.261421513,0.4,18643679.0,14.02,6.5,0.1
United States Virgin Islands,,,,2443.0,,,
Upper middle income,,8.18498360704941,2.56,,13.7243887361235,14.1,
Uruguay,57.73,7.802982899,1.8,175413.0,17.11,6.7,2.9
Uzbekistan,49.46,5.848450503,1.8,2236976.0,1.23,13.3,1.0
Vanuatu,72.6,13.06263993,11.7,43999.0,,16.8,4.7
Vatican,,,,5.0,,,
Venezuela,7.1,,,2123644.0,,,4.1
"Venezuela, RB",,9.302933854,2.9,,13.32,24.3,
Viet Nam,,6.311217509,9.7,,11.25,20.0,
Vietnam,24.0,,,3768779.0,,,4.4
Wallis and Futuna Islands,,,,563.0,,,
West Bank and Gaza,,10.37288765,2.1,,,26.3,
World,,14.7171562,12.18,,16.0811130343678,36.7,
Yemen,9.7,,,3226837.0,,,21.6
"Yemen, Rep.",,,40.7,,1.64,39.3,
Zambia,69.86,11.24687551,11.8,1577027.0,9.18,44.7,3.8
Zimbabwe,41.9,11.82972993,9.6,1163172.0,7.59,44.2,5.1
